Name,Class,Avg,Patch,Grob,Gluth,Thad,Anub,Grand Wid,Maexx,Noth,Heig,Loath,Raz,Gothik,Four,Saph,KT
Renray,dr,85,81,84,97,86,77,74,80,90,80,82,89,15,89,93,79
Joepepper,wr,83,85,75,90,90,88,90,94,90,79,89,79,91,91,86,25
Arfie,pa,79,61,83,92,87,89,65,71,88,70,77,78,80,78,82,78
Moehawk,dk,75,88,91,80,68,90,90,70,89,79,75,62,77,85,82,1
Bucklebeary,dr,75,61,75,78,75,80,86,79,87,77,76,55,64,82,73,69
Shinaruh,dk,74,81,81,87,68,85,86,52,80,49,81,67,6,82,79,76
Eggwoll,pa,73,25,79,78,69,86,85,72,83,70,82,81,7,70,76,45
Chundus,wr,93,96,96,95,94,95,96,96,95,86,99,73,28,84,96,95
Evokelock,wl,69,65,62,57,66,56,84,56,79,78,56,59,14,58,91,63
Talhorn,rg,68,68,85,79,73,88,81,92,86,68,79,77,98,63,59,1
Getsomefudge,dk,68,67,79,80,90,80,95,80,75,44,63,72,29,83,70,2
Dreamivitz,rg,68,56,75,85,58,87,67,68,86,57,78,69,29,49,60,24
Kitsunehq,ht,66,44,75,76,65,54,68,75,86,58,59,56,18,67,64,54
Scadattle,wl,64,68,75,72,60,65,63,68,76,75,76,46,30,46,44,48
Papacap,mg,63,30,88,73,51,71,76,47,86,51,63,47,12,70,71,42
Teano,rg,62,60,65,81,67,89,81,64,86,63,65,57,33,43,82,4
Irtz,sh,62,80,40,71,71,58,73,59,76,51,67,41,59,78,70,37
Philupjayfry,pa,59,58,69,73,46,54,69,69,87,36,58,52,19,54,65,46
Padwee,ht,29,21,25,15,22,30,31,18,78,17,18,19,6,25,22,34
Sunvase,dr,27,15,32,23,11,50,18,11,74,10,22,9,13,19,28,10
Hobbrovsky,dk,58,68,84,33,18,49,17,9,81,30,21,26,21,20,24,71
Bigwiggy,pa,63,43,68,95,67,65,8,54,66,82,53,10,7,95,7,73
Jekkus,sh,77,75,84,60,72,60,75,62,97,79,92,75,81,68,84,70
Cogg,pr,62,82,93,63,79,40,20,91,84,65,0,50,16,76,85,0
Waddlet,pa,42,16,46,14,61,13,17,46,78,62,33,39,13,59,19,36
